"Timestamp","الحي السكني","معدل الاستهلاك الشهري بالريال (تقريبا)","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [ثلاجة]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [فريزر]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [مكيف]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [تلفاز]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [انارة]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [مايكروايف]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [فرن]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [غسالة ملابس]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [غسالة صحون]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [مكنسة]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [برادة المياه]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [دفاية]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [كاوية ملابس]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [سخان مياه]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [مروحة]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [توستر]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [الغلاية]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [صانع قهوة]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [خلاط]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [كمبيوتر]","كم عدد الأجهزة في المنزل من نفس النوع؟ [ثلاجة]","كم عدد الأجهزة في المنزل من نفس النوع؟ [فريزر]","كم عدد الأجهزة في المنزل من نفس النوع؟ [مكيف]","كم عدد الأجهزة في المنزل من نفس النوع؟ [تلفاز]","كم عدد الأجهزة في المنزل من نفس النوع؟ [انارة]","كم عدد الأجهزة في المنزل من نفس النوع؟ [مايكروايف]","كم عدد الأجهزة في المنزل من نفس النوع؟ [فرن]","كم عدد الأجهزة في المنزل من نفس النوع؟ [غسالة ملابس]","كم عدد الأجهزة في المنزل من نفس النوع؟ [غسالة صحون]","كم عدد الأجهزة في المنزل من نفس النوع؟ [مكنسة]","كم عدد الأجهزة في المنزل من نفس النوع؟ [برادة المياه]","كم عدد الأجهزة في المنزل من نفس النوع؟ [دفاية]","كم عدد الأجهزة في المنزل من نفس النوع؟ [كاوية ملابس]","كم عدد الأجهزة في المنزل من نفس النوع؟ [سخان مياه]","كم عدد الأجهزة في المنزل من نفس النوع؟ [مروحة]","كم عدد الأجهزة في المنزل من نفس النوع؟ [توستر]","كم عدد الأجهزة في المنزل من نفس النوع؟ [الغلاية]","كم عدد الأجهزة في المنزل من نفس النوع؟ [صانع قهوة]","كم عدد الأجهزة في المنزل من نفس النوع؟ [خلاط]","كم عدد الأجهزة في المنزل من نفس النوع؟ [كمبيوتر]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [ثلاجة]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [فريزر]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [مكيف]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [تلفاز]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [انارة]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [مايكروايف]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [فرن]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [غسالة ملابس]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [غسالة صحون]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [مكنسة]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [برادة المياه]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [دفاية]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [كاوية ملابس]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [سخان مياه]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [مروحة]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [توستر]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [الغلاية]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [صانع قهوة]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [خلاط]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [كمبيوتر]"
"2025/11/10 5:16:12 PM GMT+3","المنتزة","500","طوال اليوم","طوال اليوم","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","طوال اليوم","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","1","1","5","2","أكثر من 5","1","1","1","1","1","1","1","1","3","1","1","1","1","1","2","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","1","2","2","1","1","أكثر من 5","1","1","أكثر من 5","1","1","1","1","1","5"
"2025/11/10 5:29:46 PM GMT+3","الرياض حي الزهرة","١٠٠٠","طوال اليوم","طوال اليوم","بعد ظهر (من 12 الى 6)","مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","صباحا (من 6 الى 12)","طوال اليوم","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","مساءً (من 6 الى 12)","طوال اليوم","بعد ظهر (من 12 الى 6)","صباحا (من 6 الى 12)","بعد ظهر (من 12 الى 6)","صباحا (من 6 الى 12)","بعد ظهر (من 12 الى 6)","طوال اليوم","2","2","أكثر من 5","2","أكثر من 5","1","1","1","1","2","2","5","2","3","3","1","1","1","1","2","أكثر من 5","أكثر من 5","أكثر من 5","5","أكثر من 5","1","3","2","2","1","أكثر من 5","4","2","2","1","1","1","1","1","5"
"2025/11/10 5:40:00 PM GMT+3","الفيحاء","٨٠٠-١٢٠٠","طوال اليوم","طوال اليوم","صباحا (من 6 الى 12);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12);طوال اليوم","مساءً (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12);طوال اليوم","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","1","2","4","1","أكثر من 5","1","1","1","1","1","1","1","1","2","2","1","1","1","1","3","أكثر من 5","أكثر من 5","4","4","4","4","4","4","4","4","أكثر من 5","4","4","4","4","4","4","4","4","4"
"2025/11/10 5:42:31 PM GMT+3","خنشليله ","٤٠٠","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","صباحا (من 6 الى 12)","بعد ظهر (من 12 الى 6)","صباحا (من 6 الى 12)","مساءً (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12)","بعد ظهر (من 12 الى 6)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","مساءً (من 6 الى 12)","1","1","4","1","4","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","أكثر من 5","أكثر من 5","أكثر من 5","4","أكثر من 5","3","1","2","1","1","أكثر من 5","1","1","أكثر من 5","1","1","1","1","1","1"
"2025/11/10 5:53:42 PM GMT+3","الورود ","1500","طوال اليوم","طوال اليوم","طوال اليوم","طوال اليوم","طوال اليوم","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","طوال اليوم","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","طوال اليوم","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","فجرا (من 12 الى 6)","طوال اليوم","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","طوال اليوم","1","1","أكثر من 5","5","أكثر من 5","1","1","2","1","1","1","5","1","أكثر من 5","1","1","3","1","1","أكثر من 5","أكثر من 5","أكثر من 5","3","أكثر من 5","أكثر من 5","2","1","1","3","2","3","3","1","1","1","1","4","2","1","أكثر من 5"
"2025/11/10 6:19:22 PM GMT+3","العزيزية ","850","","","","","","","","","","","","","","","","","","","","","2","2","3","","4","2","2","1","1","1","1","1","1","1","1","","","","","4","4","4","2","","4","1","2","","","","3","","","","","","1","","","3"
"2025/11/10 6:27:13 PM GMT+3","الخزامى","500","طوال اليوم","","طوال اليوم","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6)","فجرا (من 12 الى 6)","بعد ظهر (من 12 الى 6)","","مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6)","طوال اليوم","","","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12)","بعد ظهر (من 12 الى 6)","","1","1","3","1","أكثر من 5","1","1","1","1","1","","1","2","3","","1","1","1","1","1","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","1","2","2","2","1","","أكثر من 5","2","أكثر من 5","","1","1","1","1","1"
"2025/11/10 6:27:40 PM GMT+3","حي السلام  ","١٠٠٠ ريال تقريبا ","طوال اليوم","طوال اليوم","بعد ظهر (من 12 الى 6)","","طوال اليوم","","","","","","","","","","طوال اليوم","","","","","","1","1","3","","أكثر من 5","","2","1","","","","","1","2","3","","","","2","","أكثر من 5","أكثر من 5","أكثر من 5","","أكثر من 5","","1","5","","","","","4","أكثر من 5","أكثر من 5","","","","1",""
"2025/11/10 6:27:52 PM GMT+3","الدهيمية","500000000","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);فجرا (من 12 الى 6)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12);فجرا (من 12 الى 6)","طوال اليوم","طوال اليوم","طوال اليوم","3","3","2","2","3","4","3","4","3","4","4","4","4","4","4","4","4","4","4","4","4","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5"
"2025/11/10 6:28:11 PM GMT+3","غرناطة ","300","طوال اليوم","طوال اليوم","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","","فجرا (من 12 الى 6)","مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","1","","5","1","5","","1","1","1","1","","3","1","2","","1","1","","1","1","أكثر من 5","أكثر من 5","5","1","أكثر من 5","1","1","1","1","1","","1","","1","","1","1","1","1","1"
"2025/11/10 6:30:26 PM GMT+3","المرجانية ","500","طوال اليوم","","صباحا (من 6 الى 12);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","طوال اليوم","بعد ظهر (من 12 الى 6)","","صباحا (من 6 الى 12)","","بعد ظهر (من 12 الى 6)","","","بعد ظهر (من 12 الى 6)","","","صباحا (من 6 الى 12)","","","","مساءً (من 6 الى 12)","1","","2","1","3","1","","1","","1","","","1","1","","","1","","","","أكثر من 5","","4","1","أكثر من 5","","","1","","1","","","1","","","","1","","",""
"2025/11/10 6:30:41 PM GMT+3","النسيم الغربي","900","طوال اليوم","طوال اليوم","صباحا (من 6 الى 12)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","","بعد ظهر (من 12 الى 6)","مساءً (من 6 الى 12)","فجرا (من 12 الى 6)","مساءً (من 6 الى 12)","طوال اليوم","مساءً (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12);فجرا (من 12 الى 6)","مساءً (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6)","","بعد ظهر (من 12 الى 6)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","2","1","أكثر من 5","1","أكثر من 5","","1","1","1","1","1","1","1","2","3","1","1","","1","4","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","","1","4","2","1","أكثر من 5","1","1","4","أكثر من 5","1","1","","1","أكثر من 5"
"2025/11/10 6:34:32 PM GMT+3","الخالدية ","500","طوال اليوم","طوال اليوم","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","طوال اليوم","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","طوال اليوم","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","1","","4","2","4","1","1","1","1","","1","1","1","4","1","1","1","1","","1","4","4","4","4","4","1","1","1","1","1","4","1","1","4","1","1","1","1","1","1"
"2025/11/10 6:35:24 PM GMT+3","الريان","٢٠٠","طوال اليوم","طوال اليوم","بعد ظهر (من 12 الى 6)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6)","بعد ظهر (من 12 الى 6)","مساءً (من 6 الى 12)","","","مساءً (من 6 الى 12)","","فجرا (من 12 الى 6)","مساءً (من 6 الى 12)","","","مساءً (من 6 الى 12)","","بعد ظهر (من 12 الى 6)","مساءً (من 6 الى 12)","1","1","3","1","5","1","1","1","","","1","","1","1","","","1","","1","2","أكثر من 5","أكثر من 5","4","5","أكثر من 5","1","1","4","","","3","","1","2","","","1","","1","5"
"2025/11/10 6:38:36 PM GMT+3","حي الجامعة ","فاتورة ثابته ١٥٠","طوال اليوم","طوال اليوم","طوال اليوم","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","طوال اليوم","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6)","","","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6)","طوال اليوم","","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","","1","1","4","2","أكثر من 5","1","1","1","","1","","","1","4","","1","1","","1","","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","1","4","2","","2","","","2","أكثر من 5","","1","2","","1",""
"2025/11/10 6:39:13 PM GMT+3","حي السلام","٨٠٠","طوال اليوم","طوال اليوم","طوال اليوم","","طوال اليوم","","","بعد ظهر (من 12 الى 6)","","","","","","","طوال اليوم","","","","","","1","1","4","","أكثر من 5","1","2","1","","","","","1","2","3","","","","1","","أكثر من 5","أكثر من 5","أكثر من 5","","أكثر من 5","","1","3","","","","","1","3","أكثر من 5","","","","1",""
"2025/11/10 6:39:36 PM GMT+3","حي السلام ","١٠٠","طوال اليوم","","بعد ظهر (من 12 الى 6)","مساءً (من 6 الى 12)","طوال اليوم","","","","","","","","","","فجرا (من 12 الى 6)","فجرا (من 12 الى 6)","فجرا (من 12 الى 6)","صباحا (من 6 الى 12)","","فجرا (من 12 الى 6)","1","","2","1","3","1","1","","","","","1","","","1","1","1","1","","1","أكثر من 5","","","أكثر من 5","أكثر من 5","","2","","","","","1","","1","أكثر من 5","3","1","1","","أكثر من 5"
"2025/11/10 6:39:59 PM GMT+3","الريان","200","طوال اليوم","طوال اليوم","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","","طوال اليوم","فجرا (من 12 الى 6)","فجرا (من 12 الى 6)","بعد ظهر (من 12 الى 6)","","","","","","","طوال اليوم","","بعد ظهر (من 12 الى 6);فجرا (من 12 الى 6)","","","طوال اليوم","1","1","1","","أكثر من 5","","1","1","","","","","","1","1","","1","","","1","أكثر من 5","أكثر من 5","أكثر من 5","","","2","1","","","","","","","","أكثر من 5","","2","","","أكثر من 5"
"2025/11/10 6:40:00 PM GMT+3","الورود","٥٠٠","طوال اليوم","طوال اليوم","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","مساءً (من 6 الى 12)","طوال اليوم","","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","2","1","5","1","أكثر من 5","1","1","1","1","1","","2","1","4","","1","1","1","1","4","أكثر من 5","أكثر من 5","أكثر من 5","1","أكثر من 5","1","1","1","1","1","","2","1","5","1","1","1","1","1","5"
"2025/11/10 6:45:23 PM GMT+3","إسكان أعضاء هيئة التدريس بجامعة الأمير سطام بن عبدالعزيز","250","طوال اليوم","طوال اليوم","","","مساءً (من 6 الى 12)","","مساءً (من 6 الى 12)","","","","","","","مساءً (من 6 الى 12)","","","مساءً (من 6 الى 12)","","","مساءً (من 6 الى 12)","1","1","4","1","4","","1","1","","1","","","1","1","","","1","","","1","أكثر من 5","أكثر من 5","2","","4","","1","","","","","","1","2","","","1","","","4"
"2025/11/10 6:45:40 PM GMT+3","الخالدية","٦٠٠","طوال اليوم","بعد ظهر (من 12 الى 6);طوال اليوم","صباحا (من 6 الى 12);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12)","","","","","","","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6)","1","","3","1","3","3","1","1","","","","","1","3","2","","","","","1","أكثر من 5","","أكثر من 5","4","أكثر من 5","","","5","","","","أكثر من 5","","4","أكثر من 5","","","","","أكثر من 5"
"2025/11/10 6:51:03 PM GMT+3","النسيم","٣٠٠٠","طوال اليوم","طوال اليوم","بعد ظهر (من 12 الى 6)","طوال اليوم","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6)","طوال اليوم","بعد ظهر (من 12 الى 6)","مساءً (من 6 الى 12)","","صباحا (من 6 الى 12)","","","صباحا (من 6 الى 12)","طوال اليوم","","صباحا (من 6 الى 12)","طوال اليوم","","صباحا (من 6 الى 12)","مساءً (من 6 الى 12)","3","2","أكثر من 5","أكثر من 5","أكثر من 5","2","2","4","","2","","","2","أكثر من 5","","2","3","2","2","1","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","2","2","5","","3","","","2","أكثر من 5","","2","أكثر من 5","1","1","أكثر من 5"
"2025/11/10 6:54:40 PM GMT+3","حي الخزامى","400 ريال تقريبًا","طوال اليوم","طوال اليوم","طوال اليوم","مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6)","بعد ظهر (من 12 الى 6)","مساءً (من 6 الى 12)","","مساءً (من 6 الى 12)","طوال اليوم","مساءً (من 6 الى 12)","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","طوال اليوم","","فجرا (من 12 الى 6)","طوال اليوم","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","بعد ظهر (من 12 الى 6)","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","1","1","5","2","أكثر من 5","1","1","1","","1","1","2","1","","3","1","1","1","1","1","أكثر من 5","أكثر من 5","أكثر من 5","1","أكثر من 5","1","1","أكثر من 5","","1","أكثر من 5","1","1","أكثر من 5","","1","1","1","1","2"
"2025/11/10 6:55:53 PM GMT+3","السلمانية الخرج ","١٢٠","طوال اليوم","طوال اليوم","بعد ظهر (من 12 الى 6)","مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","","مساءً (من 6 الى 12)","","بعد ظهر (من 12 الى 6)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","فجرا (من 12 الى 6)","طوال اليوم","","","","","فجرا (من 12 الى 6)","طوال اليوم","1","1","2","1","أكثر من 5","1","","1","","1","1","","1","1","","","","","","2","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","3","","4","","4","4","","4","أكثر من 5","","","","","","أكثر من 5"
"2025/11/10 6:57:07 PM GMT+3","الملقا","1200","طوال اليوم","طوال اليوم","طوال اليوم","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","طوال اليوم","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","صباحا (من 6 الى 12)","طوال اليوم","","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","طوال اليوم","","","صباحا (من 6 الى 12)","","","طوال اليوم","1","1","أكثر من 5","1","أكثر من 5","1","1","1","1","1","1","1","1","3","","","1","","1","4","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","1","4","أكثر من 5","4","1","أكثر من 5","1","3","أكثر من 5","","","2","","1","4"
"2025/11/10 7:04:31 PM GMT+3","الريان ","٣٠٠","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6)","مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6)","بعد ظهر (من 12 الى 6)","مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6)","","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","","","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6)","صباحا (من 6 الى 12)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","1","1","2","2","3","1","1","2","1","1","","2","1","3","","","1","1","2","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
